Aaron	アーロン
West	ウェスト
Westbrook	ウェストブルック
Westmoreland	ウェストモアランド
Weston	ウェストン
Westwick	ウェストウィック
Westwood	ウエストウッド
Wetton	ウェットン
Weymouth	ウェイマス
Whalley	ウォーリー
Wharton	ウォートン
Wheatley	ウィートリー
Wheatstone	ホイートストン
Wheeldon	ウィールドン
Wheeler	ウィーラー
Wheelwright	ウィールライト
Whelan	ウィーラン
Whelbourne	ウェルボーン
Whight	ライト
Whishaw	ウィショー
Whistler	ホイッスラー
Whiston	ホイストン
Whitaker	ウィテカー、ウィティカー
Whitbread	ウィットブレッド
White	ホワイト
Whitefield	ホワイトフィールド
Whitehead	ホワイトヘッド
Whiteley	ホワイトリー
Whiteway	ホワイトウェイ
Whitford	ウィットフォード
Whiting	ウィティング
Whitman	ホイットマン
Whitmore	ウィットモア
Whittington	ウィッティントン
Whittle	ウィットル
Whymper	ウィンパー
Whyte	ホワイト
Wiat	ワイアット
Wibberley	ウィバリー
Wickham	ウィッカム
Wickins	ウィッキンズ
Widdowson	ウィドーソン
Widdrington	ウィドリントン
Wight	ワイト
Wilberforce	ウィルバーフォース
Wilby	ウィルビー
Wilbye	ウィルビー
Wilcox	ウィルコックス
Wilde	ワイルド
Wilder	ワイルダー
Wilkes	ウィルクス
Wilkie	ウィルキー
Wilkins	ウィルキンズ
Wilkinson	ウィルキンソン
Wilks	ウィルクス
Willcocks	ウィルコックス
Williams	ウィリアムズ
Williamson	ウィリアムソン
Willis	ウィリス
Willmott	ウィルモット
Willoughby	ウィロビー
Wills	ウィルズ
Wilmington	ウィルミントン
Wilmot	ウィルモット
Wilson	ウイルソン
Wimberley	ウィンバリー
Wimbury	ウィンベリー
Winchcombe	ウィンチカム
Windsor	ウィンザー
Wingate	ウィンゲート
Wingfield	ウィングフィールド
Winslet	ウィンズレット
Winston	ウィンストン
Winstone	ウィンストン
Winter	ウィンター
Winters	ウィンターズ
Winterson	ウィンターソン
Winwood	ウィンウッド
Wirgman	ワーグマン
Wisdom	ウィズダム
Wise	ワイズ
Wishart	ウィシャート
Withers	ウィザーズ
Witherspoon	ウィザースプーン
Witting	ウィッティング
Witty	ウィッティー
Wodehouse	ウッドハウス
Wolf	ウルフ
Wolfenden	ウォルフェンデン
Wolsey	ウォルジー
Wolstenholme	ウォルステンホルム
Wood	ウッド
Woodman	ウッドマン
Woods	ウッズ
Woodville	ウッドヴィル
Woodward	ウッドワード
Woolf	ウルフ
Woolley	ウーリー
Wordsworth	ワーズワース
Worrall	ウォーラル
Worsley	ウォーズリー
Worthington	ワージントン
Wray	レイ
Wren	レン
Wrenn	レン
Wright	ライト
Wrigley	リグリー
Wroughton	ロウトン
Wulfstan	ウルフスタン
Wyatt	ワイアット
Wyeth	ワイエス
Wyld	ワイルド
Wyler	ワイラー
Wyman	ワイマン
Wymark	ワイマーク
Yardley	ヤードリー
Yarnold	ヤーノルド
Yates	イェイツ
York	ヨーク
Yorke	ヨーク
Young	ヤング
Younghusband	ヤングハズバンド
Zindell	ジンデル
